Sector,Industry,Topic,Definition
Extractives & Minerals Processing,Construction Materials,Product Innovation,"Innovations in building materials are an essential component in the growth of sustainable construction. Consumer and regulatory trends are driving adoption of sustainable building materials and processes that are more resource efficient andcan reduce health impacts of buildings throughout their lifecycle. This is creating new business drivers for construction materials entities, with an opportunity to increase revenue. Furthermore, some new products require less energy to produce, or use largely recycled inputs, reducing production costs. Therefore, sustainable construction materials can contribute to an entity’s long-term growth and competitiveness."
Extractives & Minerals Processing,Construction Materials,Biodiversity Impacts,"Construction materials entities often operate their own quarries close to processing facilities. Quarrying requires the removal of vegetation and topsoil. It also requires the blasting and crushing of underlying stone deposits. The process can lead to permanent alterations of the landscape, with associated impacts on biodiversity. The environmental characteristics of the land where quarrying takes place could increase extraction costs, due to increasing awareness and protection of ecosystems. Entities could also face regulatory or reputational barriers to accessing sites in ecologically sensitive areas. Thismay include new protection status afforded to areas where reserves are located. Ongoing quarrying operations may also be subject to laws protecting endangered species. Entities that have an effective environmental management plan for different stages of the project lifecycle—including restoration during site decommissioning—could minimise their compliance costs and legal liabilities. These entities could face less community resistance in quarrying at new sites and avoid difficulties in obtaining permits and delays in project completion."
Extractives & Minerals Processing,Construction Materials,Air Quality,"On-site fuel combustion and production processes in the Construction Materials industry emit criteria air pollutants and hazardous chemicals, including small quantities of organic compounds and heavy metals. Emissions of particular concern include nitrogen oxides, sulphur dioxides, particulate matter, heavy metals (for example, mercury), dioxins and volatile organic compounds, among others. These air emissions can have significant, localised human health and environmental impacts. Financial impacts resulting from air emissions will vary depending on the specific location of operations and the applicable air emissions regulations, but they could include higher operating or capital expenditures and regulatory or legal penalties. Active management of the issue—through technological and process improvements—may allow entities to limit the impact of regulations and benefit from operational efficiencies that could lead to a lower cost structure over time."
Extractives & Minerals Processing,Construction Materials,Energy Management,"The production of construction materials requires significant energy, sourced primarily from direct fossil fuel combustion as well as from purchased electricity. Energy-intense production has implications for climate change, and electricity purchases from the grid can create indirect Scope 2 emissions. Construction materials entities also use alternative fuels forkilns, such as scrap tyres and waste oil—often waste generated by other industries. If properly managed, these can lower energy costs and greenhouse gas (GHG) emissions. However, potentially negative impacts could occur, such as releases of harmful air pollutants that entities need to minimise to obtain net benefits from using such fuels. Decisions about use of alternative fuels, renewable energy and on-site generation of electricity (versus purchases from the grid) can be importantin influencing both the costs and reliability of energy supply. Affordable, easily accessible and reliable energy is an important competitive factor in this industry, with purchased fuels and electricity accounting for a significant proportion of total production costs. How a construction materials entity manages energy efficiency, reliance on different types of energy and associated sustainability risks, and access to alternative sources of energy may influence its profitability."
Extractives & Minerals Processing,Construction Materials,Workforce Health & Safety,"Employees and contractors of construction materials entities face significant health and safety risks. Industry hazards include those arising from the use of heavy equipment and from quarrying operations. In addition to acute impacts, workers can develop chronic health conditions from silica dust inhalation, among other factors. Due to these hazards, theindustry has relatively high fatality rates, and many entities have implemented a strong safety culture and health and safety policies to mitigate associated risks. Worker injuries, illnesses, and fatalities can lead to regulatory penalties, negative publicity, low worker morale and productivity, and increased healthcare and compensation costs."
Extractives & Minerals Processing,Construction Materials,Waste Management,"Construction materials production recycling rates are high. However, waste from production processes, pollution control devices and from hazardous waste management activities present a regulatory risk and can increase operating costs. Cement kiln dust (CKD)—consisting of fine-grained, solid, highly alkaline waste removed from cement kiln exhaust gas byair pollution control devices—is the most significant waste category in the industry. Regulatory risk remains high from evolving environmental laws. Entities that reduce waste streams—hazardous waste streams in particular—and recycle by-products, can reduce regulatory and litigation risks and costs."
Food & Beverage,Tobacco,Marketing Practices,"Tobacco product labelling and marketing is heavily regulated internationally. The World Health Organization’s Framework Convention on Tobacco Control has led many countries to introduce new, stricter regulatory approaches to prevent people from adopting tobacco use at a young age through transparent advertising about tobacco’s health risks. The industry has faced costly legal battles related to the marketing and advertising of its products. Marketing for combustible and new non-combustible products have to balance regulatory requirements with the need to reach new markets. Failing to properly manage social externalities may lead to further unfavourable regulation and erode the industry’s social license to operate. Entities that effectively manage this issue can reduce the likelihood of extraordinary expenses, improve marketshare, and decrease liabilities."
Food & Beverage,Tobacco,Public Health,"Tobacco use can lead to serious health risks as established by many scientific studies over the past several decades. Healthproblems associated with tobacco include lung disease, cancer, and heart disease. Tobacco product manufacturers have faced lawsuits from individuals, governments, corporations, and other groups. In some cases, these have resulted in multibillion-dollar settlements. A growing public awareness of the associated health risks has driven down tobacco use dramatically in many countries. Tobacco product manufacturers are introducing an array of “harm reduction” products, such as non-tobacco nicotine products and heated tobacco products, aimed at minimising the health impacts of tobacco use while accessing new markets. Future scientific studies could reach new conclusions on these assertions of reduced harm, with continuing impacts on entity revenue and growth potential. "
Extractives & Minerals Processing,Oil & Gas - Refining & Marketing,Pricing Integrity & Transparency,"Regulators such as the U.S. Federal Trade Commission (FTC), and the U.S. Commodity Futures Trading Commission (CFTC)are responsible for overseeing issues related to pricing integrity and transparency, which includes the potential for market manipulation by oil and gas entities, including Refining & Marketing (R&M) entities. Regulatory agencies focusing on refineries may investigate various competitive factors, including utilisation and maintenance decisions, product supply decisions, product margins, and capital planning, creating uncertainty regarding future enforcement. The focus of enforcement actions also includes reporting prices to price index publishers, as well as potential price distortions through trading positions in physical transactions, and swaps, futures, and derivatives. Maintaining market integrity and ensuring transparency in product pricing can therefore lower regulatory risks and liabilities for R&M entities and protect consumers from unfair pricing."
Extractives & Minerals Processing,Oil & Gas - Refining & Marketing,Greenhouse Gas Emissions,"Oil and Gas R&M operations generate significant direct greenhouse gas (GHG) emissions from a variety of sources. Emissions primarily consist of carbon dioxide and methane from stationary fossil fuel combustion for energy supply. Energy costs are a significant share of refinery operating costs. GHGs also are released from process emissions, fugitive emissions resulting from leaks, emissions from venting and flaring, and from non-routine events such as equipment maintenance. The energy intensity of production, and therefore the GHG emissions intensity, can vary significantly depending on the type of crude oil feedstock used and refined product specifications. Entities that cost-effectively reduce GHG emissions from their operations may capture operational efficiencies. Such reductions also may mitigate the effects of increased fuel costs from regulations that limit—or put a price on—GHG emissions."
Extractives & Minerals Processing,Oil & Gas - Refining & Marketing,Water Management,"Refineries can use large quantities of water depending on their size and refining process complexity. This water use exposes them to the risk of water scarcity, depending on their location, and related costs. Extraction of water from water-stressed regions or water contamination also may create tensions with local communities. Refinery operations require wastewater treatment and disposal, often via on-site wastewater treatment plants before discharge. Reducing water use and contamination through recycling and other water management strategies may permit entities to capture operational efficiencies and reduce operating costs. They also could minimise regulatory, water supply shortages and community-related disruptions on operations."
Extractives & Minerals Processing,Oil & Gas - Refining & Marketing,Management of the Legal & Regulatory Environment,"The Oil & Gas – Refining & Marketing industry is subject to numerous sustainability-related regulations and an often rapidly changing regulatory environment. Changes to the legal and regulatory environment may result in material impactson shareholder value. Entities in the industry regularly participate in the regulatory and legislative process on a wide variety of environmental and societal issues. Such engagement can result from entities seeking to ensure industry views are represented in the development of regulations impacting the industry as well as to represent shareholder interests. At the same time, such engagement to influence environmental laws and regulations may adversely affect entities’ reputations and ultimately impact an entity’s social license to operate. "
Extractives & Minerals Processing,Oil & Gas - Refining & Marketing,Air Quality,"Non-greenhouse gas (GHG) air emissions from Refining & Marketing (R&M) operations include criteria air pollutants, Volatile Organic Compounds (VOCs), and hazardous air pollutants, which can have significant, localised human health and environmental impacts. Specific emissions of concern include sulphur dioxide, nitrogen oxides, hydrogen sulphide, particulate matter, and VOCs. Releases occur from stationary combustion sources, storage vessels, flares, and equipment leaks, and may also occur as a result of accidents. Human health impacts and financial consequences for R&M entities arelikely to be exacerbated the closer a facility is to population centres. Active management of the issue—through technological and process improvements—can allow entities to limit the impact of regulations and benefit from operational efficiencies that could lead to a lower cost structure over time."
Extractives & Minerals Processing,Oil & Gas - Refining & Marketing,Workforce Health & Safety,"Hazards associated with the operations of entities in the Refining & Marketing (R&M) industry may present risks to employee health and safety. Such hazards include the handling and processing of hydrocarbons, frequently at high temperatures and pressures during refining operations. Accidents or inadvertent exposures to chemicals and other hazards such as heat or noise may result in fatalities, severe injuries, or illnesses. Releases of hydrocarbons or other hazardous substances as a result of accidents or leaks can also have negative consequences for neighbouring communities. An entity’s ability to protect employee health and safety, and to create a culture of safety and well-being among employees at all levels, can help prevent accidents, mitigate costs and operational downtime, and enhance workforce productivity."
Extractives & Minerals Processing,Oil & Gas - Refining & Marketing,Hazardous Materials Management,"As a byproduct of their operations, Refining & Marketing (R&M) entities generate various forms of waste derived from theprocessing and storage of petroleum products. Many of these substances are hazardous to human health and the environment and may be subject to regulation. Remediation of inactive or decommissioned sites often takes several years to be completed, and entities may accrue liabilities for past operations. Releases of hazardous substances from underground storage tanks (USTs) used by refining facilities and gas stations can affect redevelopment of land for abandoned or closed facilities. Spills and releases during operations can lead to groundwater contamination and other negative impacts. R&M entities that reduce and recycle hazardous waste streams ensure the integrity of their USTs, as wellas those that have effective and prompt clean-up and remediation measures in place for normal operations and decommissioned facilities, may enjoy reduced regulatory and litigation risks and associated costs."
Extractives & Minerals Processing,Oil & Gas - Refining & Marketing,Product Specifications & Clean Fuel Blends,"Some regulatory jurisdictions have implemented product specifications and renewable fuel blends, which pose significant compliance and operational risks for Refining & Marketing entities. Entities may face long-term reductions in revenue from fossil fuel-based products and services because of GHG mitigation policies such as renewable fuel mandates or standards, as well as competition from non-fossil fuel products. To ensure regulatory compliance and position themselves for long-term competitiveness, some entities are investing in clean fuel production or purchasing ethanol and other renewable biofuels. Advanced biofuels and fuel technologies have lower lifecycle impacts than traditional biofuels, and they can be used to minimise future regulatory risks and public pressure. Although short-term costs to find commercially viable technologies can be significant, investments in R&D for such technologies could serve to support R&M entities’ long-term profitability."
Extractives & Minerals Processing,Oil & Gas - Refining & Marketing,Critical Incident Risk Management,"The operations of Refining & Marketing entities are often characterised by a high number of hazards, including the handling of flammable, volatile substances, the use of highly reactive chemicals, and the processing of fluids at high temperature and pressure. Releases of hydrocarbons or other hazardous substances as a result of accidents can have significant consequences for an entity’s workforce, as well as external social and environmental consequences. In addition to effective process safety management practices, entities frequently prioritise developing a culture of safety to reduce theprobability that accidents and other health and safety incidents will occur. If accidents and other emergencies do occur, entities with a strong safety culture are often able to more effectively detect and respond to such incidents. A culture thatengages and empowers employees and contractors to work with management to safeguard their own health, safety, andwell-being and prevent accidents is likely to help entities reduce production downtime, mitigate costs, ensure workforce productivity, and maintain their license to operate."
Extractives & Minerals Processing,Iron & Steel Producers,Greenhouse Gas Emissions,"Iron and steel production generates significant direct greenhouse gas (GHG) emissions, primarily carbon dioxide and methane, from production processes and on-site fuel combustion. Although technological improvements have reduced the GHG emissions per ton of steel produced, steel production remains carbon-intensive compared to other industries. Regulatory efforts to reduce GHG emissions in response to the risks posed by climate change may result in additional regulatory compliance costs and risks for iron and steel entities because of climate change mitigation policies. Entities can achieve operational efficiencies through the cost-effective reduction of GHG emissions. Capturing such efficiencies can mitigate the potential financial effects of increased fuel costs from regulations that limit—or put a price on—GHG emissions."
Extractives & Minerals Processing,Iron & Steel Producers,Water Management,"Steel production requires substantial volumes of water. Entities face increasing operational, regulatory and reputational risks associated with water scarcity, costs of water acquisition, regulations on effluents or amount of water used, and competition with local communities and other industries for limited water resources. These risks are particularly likely to affect regions where water is scarce, resulting in water availability constraints and price volatility. Entities unable to secure a stable water supply could face production disruptions, while rising water prices could directly increase production costs. Consequently, entities adopting technologies and processes to decrease reduce water consumption may reduce operatingrisks and costs by mitigating the operational impacts of regulatory changes, water supply shortages and community-related disruptions."
Extractives & Minerals Processing,Iron & Steel Producers,Supply Chain Management,"Iron ore and coal are critical raw material inputs to the steel production process. Iron ore mining and coal production are resource-intensive processes. Mineral extraction often has substantial environmental and social impacts adversely affectinglocal communities, workers and ecosystems. Community protests, legal or regulatory action, or increased regulatory compliance costs or penalties can disrupt mining operations. Iron and steel entities could face supply disruptions as a result, or in some cases, also may be subject to regulatory penalties associated with the environmental or social impact of the mining entity supplier. Minimising such risks through appropriate supplier screening, monitoring and engagement, iron and steel producers may manage their direct critical raw materials suppliers proactively to ensure they are not engaged in illegal or otherwise environmentally or socially damaging practices."
Extractives & Minerals Processing,Iron & Steel Producers,Air Emissions,"Iron and steel production typically generates criteria air pollutants, volatile organic compounds (VOCs), and hazardous air pollutants, which can have significant localised public health impacts. Of particular concern are sulphur oxides, nitrogen dioxide, lead, carbon monoxide, and manganese, as well as particles such as soot and dust, which are released during theproduction process. Across North America, Western Europe, and Japan, technological innovation and continuous improvements in steel-making processes have significantly reduced air pollutants from the Iron & Steel Producers industry. However, air pollutants remain a concern due to heightened regulatory and public concern about air pollution, as well as expansion of steel production in emerging markets. Iron and steel production in emerging markets may be impacted by regulatory efforts aimed at curbing air pollution. Active management of facility emissions through implementation of industry best practices across global operations can facilitate the transition to sustainable steel production, lowering costs and potentially enhancing operational efficiency."
Extractives & Minerals Processing,Iron & Steel Producers,Energy Management,"The production of steel requires significant energy, sourced primarily from the direct fossil fuel combustion as well as energy purchased from the grid. Energy-intense production has implications for climate change, and electricity purchases from the grid can result in indirect Scope 2 emissions. The choice between various production processes—electric arc furnaces and integrated basic oxygen furnaces—can influence whether an entity uses fossil fuels or purchases electricity. This decision, together with the choice between using coal versus natural gas or on-site versus grid-sourced electricity, may influence both the costs and reliability of energy supply. Affordable, easily accessible and reliable energy is an important industry competitive factor. Energy costs account for a substantial portion of iron and steel manufacturing costs. How an iron and steel entity manages its energy efficiency, its reliance on various types of energy and associated sustainability risks, and its ability to access alternative sources of energy can influence its profitability."
Extractives & Minerals Processing,Iron & Steel Producers,Workforce Health & Safety,"Industrial processes used in iron and steel production can present significant risks to employees and contractors working at iron and steel plants. Given the high temperatures and heavy machinery involved, worker injuries and fatalities are a matter of concern to iron and steel producers. The industry has relatively high fatality rates, signifying the hazardous workenvironment and requiring a strong safety culture and health and safety policies. While accident rates in the industry are on a long-term decline, worker injuries and fatalities can lead to regulatory penalties, negative publicity, low worker morale and productivity, and increased healthcare and compensation costs."
Extractives & Minerals Processing,Iron & Steel Producers,Waste Management,"While waste reclamation rates in steel production are high, the industry generates significant quantities of hazardous wastes. There are three main waste types in the industry—slag, dusts, and sludges. These by-products are often recycled internally or sold to other industries. However, process wastes such as electric arc furnace dust, which is regulated as a hazardous material in the U.S. due to its heavy metal content, can have significant environmental and human health impacts, present a regulatory risk, and result in additional operating costs for entities. Risks related to the long-term impacts of waste disposal may result in significant costs, including those associated with contaminated off-site disposal properties, for which iron and steel producers may be held responsible for remediation and restoration activities. Entities that reduce waste streams and hazardous waste streams in particular, and recycle or sell non-hazardous by-products, could therefore lower regulatory risks and costs while increasing revenues."
Infrastructure,Engineering & Construction Services,Climate Impacts of Business Mix,"Engineering & Construction Services industry clients may be exposed to potentially disruptive climate regulation as well as those that mitigate climate change. Some types of construction projects are significant climate change contributors because of the greenhouse gases (GHGs) emitted during their use phase. Projects that may contribute to global GHG emissions include those in extractive industries, as well as large buildings. Whereas some infrastructure projects, such as renewable energy projects, are designed to reduce GHG emissions, many types of projects present trade-offs. Mass transitsystems, for example, may contribute to GHG emissions while reducing net emissions once the benefits offered by the system are factored. Several entities in the industry generate a substantial share of revenue and profits from clients in carbon-intensive industries and whose future capital investments may be at risk because of evolving climate regulations. Downside risks may manifest through project delays, cancellations and diminished long-term revenue growth opportunities. On the other hand, entities that specialise in infrastructure projects that contribute to GHG mitigation could develop competitive advantages as they continue to focus on these growing markets. As the industry and its customers continue to operate within an uncertain business environment and face increasing environmental and regulatory requirements, assessing and communicating the risks and opportunities stemming from climate change that are embedded in an entity’s backlog and future business prospects may help investors in assessing the overall business impact of climate change."
Infrastructure,Engineering & Construction Services,Workforce Health & Safety,"Construction, maintenance and repair services, and other on-site activities require a substantial amount of manual labour. Fatality and injury rates in the Engineering & Construction Services industry are high compared with those in other industries as a result of the workforce’s exposure to powered haulage and heavy machinery accidents, fall accidents, exposure to hazardous chemicals, and other unique and potentially dangerous situations. Additionally, temporary workersmay be at a higher risk due to lack of training or industry experience. Failing to protect worker health and safety can result in fines and penalties; serious incidents can lead to acute, one-time extraordinary expenses and contingent liabilitiesfrom legal and/or regulatory actions. In addition, health and safety incidents can result in project delays and downtime that raise project costs and lower profitability. Entities that seek to properly train both permanent and temporary employees and build a strong safety culture could reduce their risk profile while potentially gaining a competitive advantage in new project bids and proposals as a result of strong workforce health and safety track records."
Infrastructure,Engineering & Construction Services,Business Ethics,"Entities in the industry face risks associated with bribery, corruption, and anti-competitive practices. This is due to several factors, including the global operations of many entities, the need to manage multiple local agents and subcontractors, the complexity of project financing and project permitting, the magnitude of the contracts involved in building large infrastructure projects, and the competitive process necessary to secure contracts with private and public entities. Ethical breaches can result in investigations by authorities, as well as large fines, settlement costs, and damaged reputations. Such breaches may include violations of anti-bribery laws, such as paying government officials in order to gain project contracts. They may also include unethical bidding practices, such as complementary bidding (e.g., submitting an artificially high or otherwise unacceptable bid for a contract that a bidder does not intend to win) and bid-pooling (e.g., coordinating to split contracts and assure each bidder is awarded a certain amount of work). Moreover, entities with poortrack records can be barred from working on future projects, resulting in lost revenue. Developing an ethical culture through employee training, effective governance structures, and internal controls is critical for entities to mitigate risks associated with business ethics."
Infrastructure,Engineering & Construction Services,Lifecycle Impacts of Buildings & Infrastructure,"Buildings and major infrastructure projects are among the largest users of natural resources in the economy; during construction, these materials include iron and steel products, cement, concrete, bricks, drywall, wallboards, glass, insulation, fixtures, doors, and cabinetry, among others. Once completed, and during their daily use, these projects often consume significant amounts of resources in the form of energy and water (for a discussion on direct environmental impacts from project construction see the Environmental Impacts of Project Development topic). Therefore, the sourcing of construction materials and the everyday use of buildings and infrastructure may contribute to direct and indirect greenhouse gas (GHG) emissions, global or local resource constraints, water stress and negative human health outcomes. Client and regulatory pressures to develop a sustainable built environment are contributing to the growth of markets intended to reduce the lifecycle impacts of buildings and infrastructure projects. In response, various international sustainable building and infrastructure certification schemes assess, among other aspects, a project’s use-phase energy and water efficiency, impacts on human health, and the use of sustainable construction and building materials. As a result, various opportunities are being created for industries in the value chain—from suppliers that can provide such materials, to entities in the Engineering & Construction Services industry that can provide sustainability-oriented project design, consulting and construction services. Such services can provide a competitive advantage and revenue growth opportunities as client demand for economically advantageous sustainable projects increases and related regulations evolve. Entities unable to effectively integrate such considerations into their services may lose market share in the long term."
Infrastructure,Engineering & Construction Services,Environmental Impacts of Project Development,"Infrastructure construction projects improve economic and social development; however, they also may pose risks to the local environment and surrounding communities. Industry activities can disrupt local ecosystems through biodiversity impacts, air emissions, water discharges, natural resource consumption, waste generation and hazardous chemicals use. Construction entities perform clearing, grading and excavation activities and may generate harmful waste during project construction. Effectively assessing environmental impacts before construction may mitigate unforeseen issues that may increase operational expenses and capital costs. In some cases, environmental concerns or local community pushback mayresult in project delays and, in extreme cases, project cancellations, which may affect an entity’s profitability and growth opportunities. Failure to comply with environmental regulations during construction may result in costly fines and remediation costs, and it can damage an entity’s reputation. Environmental impact assessments can provide an understanding of a project’s potential environmental impacts and necessary mitigation activities before it begins. Likewise,proper management of environmental risks during project construction may reduce regulatory oversight or community pushback. By assessing environmental considerations before project initiation, as well as continuing to evaluate them during project development, engineering and construction entities may be prepared to mitigate potential environmental issues and the associated financial risks that may occur, while also establishing a competitive advantage for obtaining newcontracts with prospective clients."
Infrastructure,Engineering & Construction Services,Structural Integrity & Safety,"Whether providing engineering, design, architectural, consulting, inspection, construction or maintenance services, entities in this industry have a professional responsibility to ensure the safety and integrity of their work. Errors or inadequate quality in the project design phase and construction of buildings or infrastructure may result in significant personal injury, loss of property value and economic harm. Entities that manage structural integrity and safety poorly may incur incremental costs because of redesign or repair work and legal liabilities, as well as reputational damage that could hurt growth prospects. Moreover, when designing and constructing buildings or infrastructure, entities in the industry increasingly must contemplate potential climate change impacts, which may affect the project’s structural integrity and public safety. Compliance with minimum applicable codes and standards may not be enough to maintain and grow reputational value (or even mitigate legal liabilities) in some circumstances, especially if the frequency and severity of climate-change-related events increases as expected. Meeting or exceeding new industry quality standards, and setting upinternal control procedures to identify and fix potential design issues, including those resulting from climate risks, are practices that may help entities reduce these risks."
Infrastructure,Waste Management,Greenhouse Gas Emissions,"Landfills are a significant anthropogenic contributor to global greenhouse gas (GHG) emissions because they generate methane. As a result, regulators frequently require entities to limit landfill gas emissions. Entities can reduce these emissions through a variety of control technologies that require significant capital investments such as landfill gas collection efficiency improvements, control devices and increased methane oxidisation. Entities can capture and combust methane using a flare, an engine or a turbine to reduce the overall toxicity and potency of raw emissions dramatically. Landfill gas capture is particularly important for owners and operators of large landfills that have been the focus of regulation. Entities that operate in the waste-to-energy industry segment may reduce waste lifecycle emissions through decreased future emissions from landfills and displaced energy generation, but they face increased Scope 1 emissions from waste-to-energy facilities operations. Overall, GHG emissions pose regulatory risks for the industry, with potential effects on operational costs and capital expenditures. Entities also may generate revenue through the sale of natural gas and energy from waste-to-energy facilities, as well as reduce fuel purchases by using processed landfill gas to power operations. Performance on this issue may affect an entity’s ability to secure new permits or renew existing ones, which can affect revenue."
Infrastructure,Waste Management,Air Quality,"Air pollution is the presence of air contaminants in such quantities and duration that they can be injurious to humans, animals, plants, and/or property. It also includes contaminants that interfere with enjoyment of life and/or property. Therefore, odours and toxic gases, such as those emitted from landfills, landfill fires, waste incinerators, and waste treatment plants, are considered air pollution. The financial impacts from excessive air emissions vary depending on the specific location of operations and the prevailing air emissions regulations, but they can include capital expenditures, increased operating costs, fines, and lawsuits from affected communities. Human health impacts and financial consequences of poor air-quality management are likely to be exacerbated by the proximity of waste management facilities to communities. Active management of air pollutants and odours—through technological and process improvements—can therefore mitigate regulatory exposure and the associated future costs of compliance from increasingly stringent air-quality regulations, help entities secure and maintain permits, and protect their license to operate."
Infrastructure,Waste Management,Workforce Health & Safety,"The industry’s hazardous working conditions make safety a critical issue for waste management operations, and accidentscan have a great impact on workers. The Waste Management industry has higher fatality rates than most industries. Fatalities and other injuries are due primarily to transportation incidents, contact with hazardous objects and equipment, and exposure to harmful substances. Additionally, temporary workers may be at higher risk because of a lack of training or industry experience. Poor health and safety records can result in fines and penalties and an increase in regulatory compliance costs from more stringent oversight. Waste management entities must ensure that facilities and vehicles are operated with the highest safety standards and that the number of injuries and accidents is minimised through a strong safety culture. Entities that develop proactive safety management plans and training requirements for their employees andcontractors, including conducting regular audits, are likely to improve safety records and minimise the chance of safety-related financial repercussions."
Infrastructure,Waste Management,Management of Leachate & Hazardous Waste,"Entities operating landfills are required to manage and reduce risks of potential ecological impacts, including those causedby leachate and hazardous waste. Poor management of landfills and other disposal sites can lead to contamination of thesoil, groundwater, and other nearby water bodies. To mitigate risks to the environment and the health of local communities, entities must effectively contain and manage leachate, as well as hazardous waste. Entities that are unable to manage these risks are likely to receive regulatory penalties, lose brand value, worsen future business prospects, and face lawsuits."
Infrastructure,Waste Management,Fleet Fuel Management,"Many entities in the Waste Management industry own and operate large vehicle fleets for waste collection and transfer. The fuel consumption of vehicle fleets is a significant industry cost, both in terms of operating expenses and associated capital expenditures. Fossil fuel consumption can contribute to environmental impacts, including climate change and pollution. These environmental impacts may affect waste management entities through increased regulatory exposure and reduced competitiveness of new contract proposals. Hedging fuel purchases is a common tool used to manage fleet-fuel risks; however, increasingly, waste management entities are upgrading to more fuel-efficient fleets or switching to natural gas vehicles. A cleaner-burning fleet also may be perceived favourably by communities living near waste management facilities with heavy traffic."
Infrastructure,Waste Management,Recycling & Resource Recovery,"Recycling, reuse, composting, and incineration are general methods of diverting waste from landfills. Landfill diversion can mitigate some of the environmental impacts of landfills and reduce the need for landfill expansion. Additionally, waste management entities play a critical role in the circular economy by separating and recovering reusable materials such as paper, glass, metal, organic materials, and electronic waste. Pressures from new regulations, customer demand, and the increasing costs of extracting virgin materials are initiating the move toward a circular economy. As a result, wastemanagement entities are facing a decrease in the amount of landfilled waste and an expanding recycling market. Cradle-to-cradle approaches initiated by other industries in the economy have the potential to break down if the recovery and recycling infrastructure or technologies do not exist. Entities that provide recycling and other resource recovery services will be better able to address changing consumer needs, thereby positioning themselves for revenue growth while playinga critical role in reducing the environmental impact of the wider economy."
Infrastructure,Waste Management,Labour Practices,"Organised labour plays an important role in the Waste Management industry. Many workers are covered under collective bargaining agreements that protect workers’ rights and establish wages. High unionisation rates leave waste management entities vulnerable to shutdowns and delays due to worker strikes if labour concerns are not addressed effectively. Proper management of, and communication around, issues such as worker pay and working conditions can prevent conflicts with workers that could lead to extended strikes, which can slow or shut down operations and create reputational risk. Waste management entities need a long-term perspective on managing workers—including their pay and benefits—in a way that protects workers’ rights and enhances their productivity while ensuring the financial sustainability of an entity’s operations."
Consumer Goods,Appliance Manufacturing,Product Safety,"Product safety is of utmost importance to appliance and tool manufacturers. When an appliance malfunctions, it can result in fires or other hazards that damage property and cause injury or even death. The potential for product malfunction and its sometimes-serious consequences exposes firms to risks related to litigation and negative consumer sentiment, which can affect brand value, revenue growth, and/or market share. Failure to report known product safety hazards to relevant authorities can result in civil penalties. Entities that dedicate appropriate resources to quality control and testing can minimise the possibility of a product malfunction or recall, and can capture additional market share and limit their exposure to regulatory and litigation risks."
Consumer Goods,Appliance Manufacturing,Product Lifecycle Environmental Impacts,"Entities in the Appliance Manufacturing industry seek to differentiate their products from those of competitors. One important differentiating factor is the lifecycle environmental impact of products and an entity’s ability to design products with the entire lifecycle in mind, from creation and use to disposal. This includes appliance energy and water efficiency, which account for a significant proportion of a home’s energy and water use, as well as designing for and facilitating safeend-of-life disposal and recycling. Entities designing and manufacturing products to decrease lifecycle environmental impacts are more likely to increase market share owing to a lower cost of ownership, and they may better manage increased regulation related to issues such as extended producer responsibility."
Renewable Resources & Alternative Energy,Forestry Management,Rights of Indigenous Peoples,"Forests contribute directly to the livelihoods of millions of people worldwide. Effective relations and engagement with local communities and indigenous populations can be important to forestry entities. Communities may be affected by forestry management operations because of environmental degradation or competition for natural resources such as land and water. Conflict with communities, including or indigenous populations, could affect an entity’s ability to operate in some regions, result in regulatory action, and could cause brand impacts. Conversely, entities can provide benefits to community stakeholders through employment opportunities, revenue sharing, and increased commerce. Entities can adopt various community engagement strategies to manage the risks and opportunities associated with community rightsand interests, such as maintaining positive relations with local stakeholders and accommodating communities’ needs. "
Renewable Resources & Alternative Energy,Forestry Management,Ecosystem Services & Impacts,"Along with their timber output, forests provide valuable ecosystem services including carbon sequestration, wildlife habitat, water purification and storage, soil formation, and recreational opportunities. Meanwhile, in many regions, regulations related to water quality and endangered species protection, as well as harvesting rights that are contingent upon environmental preservation, may create operational risks for entities. As such, protecting or enhancing ecosystem services within managed forestlands could mitigate reputational, demand and operational risks related to the potential adverse environmental impacts of forestry. Entities increasingly use third-party certification to show sustainable forestry management practices that serve to enhance forest asset value and productivity, as well as to meet rising consumer demand for sustainably produced forest products."
